,gene
1233,EIF3G
1234,C7orf26
1235,HN1
1236,VCP
1237,ZC2HC1A
1238,MRPL41
1239,AP2A2
1240,ISCU
1241,NUSAP1
1242,REEP4
1243,QRICH1
1244,THY1
1245,LMAN2
1246,RPS27
1247,TFE3
1248,RAC1
1249,PPP1R12C
1250,STOML2
1251,UBA52
1252,DHPS
1253,HID1
1254,CTSD
1255,CDKN1C
1256,ISG15
1257,FAM134B
1258,RPL10
1259,SDC1
1260,PLCG1
1261,DDX1
1262,CLSTN1
1263,PBX1
1264,PRKCD
1265,TM9SF3
1266,MTMR12
1267,NCL
1268,RPL4
1269,GPRC5A
1270,KCNK1
1271,AEBP1
1272,RAB18
1273,HMGB1
1274,LRRC59
1275,ZNF471
1276,CORO1A
1277,SIPA1L3
1278,MARC2
1279,ZNF653
1280,RBMS3
1281,WFDC2
1282,FRMD8
1283,CC2D1B
1284,PSMA7
1285,AC113404.1
1286,IMPAD1
1287,C19orf24
1288,TIMM17B
1289,RANBP2
1290,ATP5EP2
1291,SRSF6
1292,APBB2
1293,CIPC
1294,ZNF704
1295,ATXN10
1296,DHFR
1297,ECSIT
1298,DDX3X
1299,PCBP1
1300,ABAT
1301,NMB
1302,LRP10
1303,SHROOM2
1304,CDR2L
1305,XRN1
1306,FANCI
1307,DST
1308,DERL1
1309,GATAD2A
1310,MIF
1311,MAZ
1312,EIF2B5
1313,IFI44
1314,TAGLN2
1315,SRD5A3
1316,EWSR1
1317,FLNB
1318,CYB5R2
1319,ARCN1
1320,PCSK6
1321,LAMB1
1322,RASAL2
1323,GTPBP6
1324,PTPN21
1325,PHB
1326,ATP6V0B
1327,ATG101
1328,EIF3A
1329,C16orf89
1330,RP11-231C14.4
1331,RPL6
1332,MCOLN1
1333,SRPRB
1334,MFNG
1335,UQCC1
1336,NET1
1337,CANX
1338,PPP1R12A
1339,GSTO1
1340,SDHA
1341,DNM2
1342,HNRNPA3
1343,GSS
1344,HACD2
1345,ARFIP1
1346,CPE
1347,IRF6
1348,C3orf14
1349,ALYREF
1350,LUM
1351,TMEM203
1352,SSH3
1353,ACP1
1354,SYMPK
1355,GLRX5
1356,SFT2D1
1357,GAS1
1358,FAM120C
1359,TMEM30B
1360,ADGRF5
1361,ST13
1362,ITM2B
1363,LSP1
1364,FMOD
1365,SC5D
1366,MYL12A
1367,HLA-A
1368,NFKB1
1369,ARL2
1370,B2M
1371,RPS6KB2
1372,SNW1
1373,TBC1D9
1374,CD59
1375,ZNF579
1376,FDPS
1377,CST4
1378,ST14
1379,C15orf48
1380,NBEAL1
1381,FAM107B
1382,MLLT10
1383,DYRK4
1384,HILPDA
1385,EPHA10
1386,POGZ
1387,TOB1
1388,TAP1
1389,TMEM59
1390,FMN1
1391,RNPC3
1392,YIPF1
1393,RFC2
1394,CRLS1
1395,CNN1
1396,AK3
1397,CD36
1398,ZNF24
1399,PRDX6
1400,AIFM1
1401,ETF1
1402,RPS13
1403,FAM126A
1404,MUC20
1405,CFLAR
1406,KCTD10
1407,DHX9
1408,SYTL1
1409,IRF2BPL
1410,HTATSF1
1411,KRT8
1412,NDUFS6
1413,GABARAP
1414,RRAS
1415,C1orf56
1416,TMX2
1417,GOT1
1418,ANXA6
1419,CRABP2
1420,ZDHHC21
1421,PLEKHM1
1422,APP
1423,RPL19
1424,TCF25
1425,ANXA4
1426,IFIT2
1427,OGFOD3
1428,ACTL10
1429,PCYOX1
1430,ITGAV
1431,HNRNPUL2
1432,GTF2H5
1433,MAP7
1434,BLOC1S1
1435,CHPF2
1436,SNAI2
1437,CAT
1438,FLYWCH2
1439,ZFP64
1440,PLVAP
1441,THOC7
1442,PPDPF
1443,RNF213
1444,RPL29
1445,SYF2
1446,SPCS1
1447,VWA9
1448,DCAF15
1449,ZNF622
1450,FAM173B
1451,HACL1
1452,GNB2L1
1453,SAT1
1454,CECR1
1455,ADPGK
1456,FUBP1
1457,TAGLN
1458,EFHD1
1459,RNASE6
1460,ATP5B
1461,CCND1
1462,NAPEPLD
1463,PAPSS2
1464,PDE5A
1465,PIP4K2A
1466,HCFC1R1
1467,ITGA9
1468,CBWD1
1469,NCAPH2
1470,ZNF517
1471,ACAD8
1472,SOD1
1473,SFXN4
1474,CSNK1D
1475,TIMM10B
1476,CDC6
1477,TET2
1478,BHLHE41
1479,SUSD3
1480,GPC3
1481,OGG1
1482,FAM92A1
1483,MAP4K5
1484,STAT2
1485,CDCP1
1486,PPP1R1B
1487,MTA1
1488,SURF1
1489,COL9A3
1490,PDCD10
1491,KRAS
1492,IGFLR1
1493,KPNA2
1494,ASCL2
1495,RGPD3
1496,EDARADD
1497,RNF187
1498,SMIM22
1499,OAT
1500,LITAF
1501,TM9SF2
1502,MTMR9
1503,JMJD1C
1504,HNRNPH3
1505,SPDEF
1506,HIVEP1
1507,JUNB
1508,DEGS2
1509,RAB25
1510,PRRC1
1511,MZT2A
1512,NRSN2
1513,TCEAL4
1514,C7orf73
1515,MBNL2
1516,DCTPP1
1517,COL7A1
1518,CASP6
1519,SNX17
1520,SLC13A2
1521,SLC27A4
1522,RAB5A
1523,PHYH
1524,LIMA1
1525,PLEKHG3
1526,CREB3
1527,SQLE
1528,EHMT1
1529,ZNF891
1530,MTRNR2L12
1531,SLC16A1
1532,LSR
1533,ADRBK2
1534,MBD4
1535,AKTIP
1536,TMEM126A
1537,MANBAL
1538,WSB1
1539,C1orf226
1540,RPS14
1541,ELK4
1542,CFH
1543,NSA2
1544,AURKAIP1
1545,MFSD7
1546,RANBP9
1547,AIFM3
1548,ELOF1
1549,POLR3C
1550,PEX26
1551,NPHP3
1552,CGRRF1
1553,MYEF2
1554,PHRF1
1555,ERF
1556,MAP4K3
1557,FARS2
1558,CCNI
1559,CNOT2
1560,NVL
1561,STT3B
1562,UQCRFS1
1563,SENP3
1564,RPL27A
1565,COX6A1
1566,BTG1
1567,YBX1
1568,SPIDR
1569,MRPL3
1570,ATP13A3
1571,GPR137
1572,TGS1
1573,MMP24
1574,C14orf119
1575,GYPC
1576,NPIPB11
1577,RPL15
1578,NUDT5
1579,IFNGR2
1580,SEC61A1
1581,NANS
1582,SERP1
1583,PIP5K1B
1584,RXRA
1585,HGSNAT
1586,SDCCAG3
1587,CRISP3
1588,THAP5
1589,HNRNPA2B1
1590,SMYD4
1591,ANTXR1
1592,SNRPE
1593,SERPING1
1594,CNOT6
1595,CFAP45
1596,PSMC6
1597,USB1
1598,DEDD
1599,PSMB3
1600,SRGN
1601,CAPZB
1602,MED26
1603,RPL9
1604,RABL3
1605,GGCT
1606,CAPNS1
1607,FABP5
1608,PGM1
1609,NDUFAF1
1610,WSB2
1611,MGEA5
1612,IP6K2
1613,TYMP
1614,USF2
1615,YARS
1616,GRIN3A
1617,CALM2
1618,RPL11
1619,SEMA3F
1620,YME1L1
1621,MFSD12
1622,MCM2
1623,SLC17A5
1624,PPM1K
1625,SYNJ2BP
1626,MPRIP
1627,PTPRM
1628,APC
1629,FAM200B
1630,RPS15A
1631,ELF1
1632,PCED1A
1633,HACD4
1634,SRRM1
1635,RBM3
1636,THRSP
1637,NSUN3
1638,COMT
1639,RPL26
1640,UBE2I
1641,DGUOK
1642,CCNL2
1643,MTERF1
1644,BRE
1645,RAB5B
1646,RNPEP
1647,FBXO31
1648,RPS23
1649,BTBD1
1650,GSN
1651,TBC1D17
1652,NUP85
1653,DPM1
1654,CLNS1A
1655,AEBP2
1656,THBS2
1657,RAD54L2
1658,NACC2
1659,GTF2F1
1660,MT2A
1661,NCBP2-AS2
1662,JUND
1663,RAB36
1664,LCMT1
1665,GCH1
1666,NDUFS5
1667,GOLGA5
1668,TGFBR2
1669,UTP15
1670,FYB
1671,COX5B
1672,RTFDC1
1673,TNIP1
1674,LASP1
1675,TUSC1
1676,FAM174A
1677,KLF2
1678,RHOB
1679,HDAC1
1680,NAA60
1681,MAPK8
1682,HIPK2
1683,H2AFV
1684,CD81
1685,COL1A2
1686,LINC00493
1687,RABEP1
1688,MAGEH1
1689,BAG1
1690,LTA4H
1691,EFNA4
1692,ZNF317
1693,IGFBP3
1694,FRS2
1695,LRRC8A
1696,SREBF1
1697,MARK3
