,gene
1435,Atp6v1f
1436,Zyx
1437,Rpia
1438,Gbas
1439,Ctdspl
1440,Nxf1
1441,Noc3l
1442,Slc19a2
1443,Ptk2b
1444,Fam19a5
1445,Cd63
1446,Tceb1
1447,Kcna1
1448,9030612E09Rik
1449,Rbbp5
1450,Sall1
1451,Smarca1
1452,Stxbp5
1453,Ide
1454,Zmat2
1455,Pdxk
1456,Zfp930
1457,Trmt2a
1458,Ctsl
1459,Accs
1460,Gar1
1461,Arhgap1
1462,Fam229b
1463,Fam69b
1464,Nup155
1465,Nap1l3
1466,Bet1
1467,Abhd16a
1468,Cc2d2a
1469,Tnk2
1470,Msrb1
1471,Nbea
1472,Ddit4
1473,Rgs7bp
1474,B3gat1
1475,Pccb
1476,Gpm6b
1477,Chmp4b
1478,Cbx3
1479,Hspa4
1480,Grk6
1481,Rgcc
1482,Mapre3
1483,Setd3
1484,Hivep1
1485,Trim8
1486,Rab3b
1487,Trappc6b
1488,Rmdn1
1489,Rnf41
1490,Bcas2
1491,Tmem55a
1492,Msrb2
1493,Arl13b
1494,Atg7
1495,Zfp653
1496,Thsd7a
1497,Lamtor4
1498,Adcy6
1499,Gpd1
1500,Map1b
1501,Lrtm2
1502,Nabp2
1503,Ocel1
1504,Ankrd45
1505,Ncl
1506,Rpp14
1507,Med30
1508,Ncln
1509,Wdr8
1510,Acbd3
1511,Synpo
1512,Rpl7
1513,Gm15421
1514,Cdkn1b
1515,Ggt7
1516,Snx11
1517,Marf1
1518,Ptbp1
1519,Sdcbp
1520,Yars
1521,Hcn2
1522,Mocs2
1523,Dolpp1
1524,Chl1
1525,2410015M20Rik
1526,Lrrc55
1527,Snx3
1528,Yap1
1529,Tenc1
1530,Ubtd2
1531,Leng8
1532,Chchd4
1533,Cmc2
1534,Ndufa13
1535,4930481A15Rik
1536,Znrf3
1537,Ndufa9
1538,Mpv17l2
1539,Mcts2
1540,Trnp1
1541,Nckap1l
1542,Slc24a3
1543,Tbc1d1
